"March","April","May","June","July","August","September","October","November","December16","January17","February","March","April"
298.066666666667,357.714285714286,288.766666666667,239.766666666667,255.066666666667,223.433333333333,244.066666666667,217.633333333333,281.566666666667,328.733333333333,295.333333333333,339.933333333333,310,320.413793103448
298.766666666667,357.607142857143,289.733333333333,235.833333333333,250.866666666667,229.1,245.1,215.833333333333,281.966666666667,328.433333333333,295.2,338.733333333333,312.033333333333,319.931034482759
297.966666666667,356.571428571429,289.933333333333,231.8,245.966666666667,233.4,248.6,215.133333333333,283.266666666667,328.433333333333,295.266666666667,338.7,313.833333333333,318.344827586207
298.4,357.357142857143,289.9,227.966666666667,242.8,235.266666666667,250.933333333333,217.766666666667,284.333333333333,328.433333333333,296.566666666667,338.266666666667,315.166666666667,319.413793103448
298.666666666667,356.642857142857,289.633333333333,226.733333333333,240.633333333333,236.533333333333,252.633333333333,218.266666666667,285.4,328.6,298.1,337.433333333333,316,319.655172413793
299,355.642857142857,289.6,226.666666666667,241.2,236.833333333333,253.666666666667,218.8,284.533333333333,328.766666666667,298.7,336.8,316.5,319
299.033333333333,355.714285714286,289.733333333333,227.3,241.366666666667,236.866666666667,254.866666666667,218.7,285.133333333333,329.133333333333,298.933333333333,337.866666666667,315.866666666667,318.48275862069
298.6,355.821428571429,289.9,228.8,242.233333333333,238.066666666667,256.9,218.433333333333,284.433333333333,329.666666666667,297.9,338,315.266666666667,318.931034482759
298.966666666667,354.642857142857,290.833333333333,228.833333333333,244.233333333333,239.266666666667,257,218.766666666667,284.666666666667,331.466666666667,297.066666666667,337.333333333333,315.4,318.896551724138
299.933333333333,354.678571428571,290.733333333333,229,246.033333333333,240.566666666667,259.133333333333,219.4,285.333333333333,331.766666666667,297.466666666667,337.8,315.966666666667,319.655172413793
299.966666666667,353.321428571429,291.033333333333,230.333333333333,247.933333333333,243.133333333333,260.166666666667,220.8,286.133333333333,332.033333333333,297.966666666667,337.1,315.4,321.448275862069
300.333333333333,350.285714285714,289.6,229.4,248.966666666667,246.333333333333,261.566666666667,221.266666666667,285.733333333333,331.6,296.933333333333,336.266666666667,314.533333333333,321.586206896552
300.166666666667,348.892857142857,289.633333333333,228.333333333333,248.933333333333,247.333333333333,264.233333333333,222.833333333333,287.2,331.533333333333,297.466666666667,337.166666666667,315.566666666667,322.793103448276
302.366666666667,347.035714285714,285.233333333333,224.866666666667,244.233333333333,245.733333333333,267.9,223.566666666667,290.166666666667,332.2,298.966666666667,336.6,316.633333333333,324.896551724138
303.633333333333,344.142857142857,279.1,221.833333333333,243.133333333333,243.966666666667,271.833333333333,226.4,292.866666666667,334,300.933333333333,333.766666666667,317.066666666667,328.827586206897
303.833333333333,346.071428571429,277.3,222.033333333333,244.633333333333,245.933333333333,278,232,295.9,335.333333333333,301.533333333333,333.866666666667,317.766666666667,332.965517241379
302.9,343.714285714286,276.166666666667,220.266666666667,245.6,248.6,283.3,237.166666666667,296.733333333333,335.066666666667,301.633333333333,331.466666666667,317.9,331.793103448276
301.8,341.928571428571,274.933333333333,220.833333333333,247.066666666667,249.033333333333,286.033333333333,239.7,296.5,336.433333333333,301,329.2,317.966666666667,330.586206896552
301.366666666667,341.75,274.966666666667,221.666666666667,247.833333333333,249.166666666667,288.666666666667,240.1,296.533333333333,336.966666666667,300.8,328.5,317.8,329.896551724138
300.2,341.25,274.166666666667,221.1,248.233333333333,248.666666666667,289.633333333333,240.133333333333,295.466666666667,336.433333333333,299.4,326.5,317.766666666667,328.931034482759
299.133333333333,339.928571428571,273.033333333333,222.033333333333,247.833333333333,247.566666666667,291.266666666667,239.666666666667,294.666666666667,336.566666666667,297.466666666667,325.266666666667,317.366666666667,327.689655172414
299.5,338.214285714286,272.833333333333,222.366666666667,248.433333333333,247.833333333333,291.166666666667,238.833333333333,293.933333333333,335.266666666667,295.966666666667,324.4,317.266666666667,328.655172413793
300.133333333333,337.285714285714,272.833333333333,223.666666666667,249.266666666667,247.1,290.633333333333,239.266666666667,293.533333333333,333.466666666667,295.633333333333,323.933333333333,317.266666666667,328.551724137931
