Hours;DK1;DK2;DK;SYS;DK1;DK2
12Ê-Ê13;2386;1784;4170;165,3;162,84;162,84
13Ê-Ê14;2415;1781;4196;162,99;159,11;159,11
14Ê-Ê15;2398;1802;4200;162,32;155,01;158,29
15Ê-Ê16;2406;1847;4253;168,28;160;163,96
16Ê-Ê17;2554;1972;4526;184,25;178,43;178,43
17Ê-Ê18;2820;2124;4944;207,97;193,65;193,65
18Ê-Ê19;2760;2080;4840;204,16;185,89;185,89
19Ê-Ê20;2582;1942;4524;193,2;181,56;181,56
20Ê-Ê21;2399;1793;4192;182,38;177,46;177,46
21Ê-Ê22;2255;1656;3911;177,68;171,86;171,86
22Ê-Ê23;2089;1516;3605;169,93;166,64;166,64
23Ê-Ê00;1967;1390;3357;163,21;161,79;161,79
00Ê-Ê01;1859;1282;3141;159,78;159,41;159,41
01Ê-Ê02;1776;1198;2974;149,86;149,49;149,49
02Ê-Ê03;1766;1176;2942;147,85;147,55;147,55
03Ê-Ê04;1778;1192;2970;144,64;144,41;144,41
04Ê-Ê05;1846;1225;3071;150,68;145,91;146,8
05Ê-Ê06;1991;1311;3302;167,17;161,65;160,82
06Ê-Ê07;2395;1578;3973;203,87;180,82;180,82
07Ê-Ê08;2833;1818;4651;339,1;300,46;303
08Ê-Ê09;3015;1888;4903;345,89;342,61;342,61
09Ê-Ê10;2984;1882;4866;333,73;328,21;328,21
10Ê-Ê11;3013;1907;4920;292,26;312,85;312,85
11Ê-Ê12;3031;1881;4912;297,41;303;305,54
12Ê-Ê13;2953;1859;4812;328,81;308,15;308,15
13Ê-Ê14;2970;1874;4844;333,21;306,51;306,51
14Ê-Ê15;2952;1896;4848;323,59;287,93;290,32
15Ê-Ê16;2852;1868;4720;332,24;279,73;279,73
16Ê-Ê17;2935;1955;4890;331,42;283,08;283,08
17Ê-Ê18;3147;2116;5263;310,31;333,36;333,36
18Ê-Ê19;2979;2057;5036;289,95;319,86;319,86
19Ê-Ê20;2815;1978;4793;255,78;288,83;291,21
20Ê-Ê21;2617;1820;4437;209,46;207,89;240,94
21Ê-Ê22;2452;1702;4154;192,38;189,84;189,84
22Ê-Ê23;2262;1523;3785;174,33;171,94;171,94
23Ê-Ê00;2078;1369;3447;162,54;161,72;161,72
00Ê-Ê01;1959;1256;3215;158,15;157,48;157,48
01Ê-Ê02;1894;1204;3098;148,45;147,78;147,78
02Ê-Ê03;1862;1177;3039;143,16;142,49;142,49
03Ê-Ê04;1876;1185;3061;137,86;137,34;137,34
04Ê-Ê05;1945;1217;3162;143,23;141,74;141,74
05Ê-Ê06;2117;1311;3428;161,58;150,62;155,99
06Ê-Ê07;2496;1559;4055;180,46;176,5;176,5
07Ê-Ê08;2922;1790;4712;263,64;259,38;261,55
08Ê-Ê09;3030;1905;4935;300,56;294,89;294,89
09Ê-Ê10;3022;1912;4934;307,13;305,86;305,86
