Time ID,070,071,072,073,074,075,076,077,078,079,080
 22:30:00  08/01/17,4.22,3.89,4.28,3.39,3.50,3.50,3.72,0.61,3.50,3.22,3.61
 22:40:00  08/01/17,4.22,3.89,4.28,3.39,3.50,3.50,3.72,0.61,3.50,3.22,3.61
 22:50:00  08/01/17,4.22,3.89,4.28,3.39,3.50,3.50,3.72,0.61,3.50,3.22,3.61
 23:00:00  08/01/17,3.50,3.28,3.61,3.39,3.50,3.50,3.39,0.00,3.50,3.89,4.61
 23:10:00  08/01/17,3.50,3.28,3.61,3.39,3.50,3.50,3.39,0.00,3.50,3.89,4.61
 23:20:00  08/01/17,3.50,3.28,3.61,3.39,3.50,3.50,3.39,0.00,3.50,3.89,4.61
 23:30:00  08/01/17,3.50,3.28,3.61,3.39,3.50,3.50,3.39,0.89,3.50,3.28,3.72
 23:40:00  08/01/17,3.50,3.28,3.61,3.39,3.50,3.50,3.39,0.89,3.50,3.28,3.72
 23:50:00  08/01/17,3.50,3.28,3.61,3.39,3.50,3.50,3.39,0.89,3.50,3.28,3.72
 00:00:00  09/01/17,3.50,3.28,3.61,4.39,3.50,3.50,3.39,3.28,3.50,4.11,3.72
 00:10:00  09/01/17,3.50,3.28,3.61,4.39,3.50,3.50,3.39,3.28,3.50,4.11,3.72
 00:20:00  09/01/17,3.50,3.28,3.61,4.39,3.50,3.50,3.39,3.28,3.50,4.11,3.72
 00:30:00  09/01/17,3.50,3.28,3.61,3.50,3.11,3.22,3.39,1.78,3.50,3.72,3.11
 00:40:00  09/01/17,3.50,3.28,3.61,3.50,3.11,3.22,3.39,1.78,3.50,3.72,3.11
 00:50:00  09/01/17,3.50,3.28,3.61,3.50,3.11,3.22,3.39,1.78,3.50,3.72,3.11
 01:00:00  09/01/17,3.50,3.28,3.61,3.50,3.50,3.50,3.39,0.78,3.89,4.50,3.72
 01:10:00  09/01/17,3.50,3.28,3.61,3.50,3.50,3.50,3.39,0.78,3.89,4.50,3.72
