Time ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
 09:20:00  08/01/17,-20.00,-19.72,-20.39,-18.72,-18.72,-20.78,-19.22,-21.22,-20.00,-19.89,-19.72,-19.72,-20.39,-18.61,-19.72,-20.72
 09:30:00  08/01/17,-20.00,-19.72,-20.39,-20.39,-20.72,-19.11,-20.89,-19.22,-20.00,-21.11,-19.72,-19.72,-20.39,-18.89,-20.78,-20.72
 09:40:00  08/01/17,-20.00,-19.72,-20.39,-20.39,-20.72,-19.11,-20.89,-19.22,-20.00,-21.11,-19.72,-19.72,-20.39,-18.89,-20.78,-20.72
 09:50:00  08/01/17,-20.00,-19.72,-20.39,-20.39,-20.72,-19.11,-20.89,-19.22,-20.00,-21.11,-19.72,-19.72,-20.39,-18.89,-20.78,-20.72
 10:00:00  08/01/17,-19.61,-19.72,-19.72,-21.78,-20.39,-21.50,-18.72,-20.61,-20.61,-20.72,-21.00,-20.50,-20.11,-18.61,-20.78,-21.11
 10:10:00  08/01/17,-19.61,-19.72,-19.72,-21.78,-20.39,-21.50,-18.72,-20.61,-20.61,-20.72,-21.00,-20.50,-20.11,-18.61,-20.78,-21.11
 10:20:00  08/01/17,-19.61,-19.72,-19.72,-21.78,-20.39,-21.50,-18.72,-20.61,-20.61,-20.72,-21.00,-20.50,-20.11,-18.61,-20.78,-21.11
 10:30:00  08/01/17,-19.61,-19.72,-18.50,-19.78,-18.50,-19.39,-20.72,-20.89,-20.61,-19.22,-18.72,-18.61,-20.61,-19.11,-20.78,-20.78
 10:40:00  08/01/17,-19.61,-19.72,-18.50,-19.78,-18.50,-19.39,-20.72,-20.89,-20.61,-19.22,-18.72,-18.61,-20.61,-19.11,-20.78,-20.78
 10:50:00  08/01/17,-19.61,-19.72,-18.50,-19.78,-18.50,-19.39,-20.72,-20.89,-20.61,-19.22,-18.72,-18.61,-20.61,-19.11,-20.78,-20.78
 11:00:00  08/01/17,-19.61,-19.72,-19.39,-19.22,-20.72,-20.72,-20.72,-18.72,-18.78,-20.28,-21.11,-20.89,-19.11,-20.28,-20.78,-20.78
 11:10:00  08/01/17,-19.61,-19.72,-19.39,-19.22,-20.72,-20.72,-20.72,-18.72,-18.78,-20.28,-21.11,-20.89,-19.11,-20.28,-20.78,-20.78
 11:20:00  08/01/17,-19.61,-19.72,-19.39,-19.22,-20.72,-20.72,-20.72,-18.72,-18.78,-20.28,-21.11,-20.89,-19.11,-20.28,-20.78,-20.78
 11:30:00  08/01/17,-19.61,-19.72,-20.61,-21.78,-20.39,-20.72,-19.11,-21.11,-21.11,-20.72,-20.22,-19.78,-20.72,-20.28,-20.22,-21.22
 11:40:00  08/01/17,-19.61,-19.72,-20.61,-21.78,-20.39,-20.72,-19.11,-21.11,-21.11,-20.72,-20.22,-19.78,-20.72,-20.28,-20.22,-21.22
 11:50:00  08/01/17,-19.61,-19.72,-20.61,-21.78,-20.39,-20.72,-19.11,-21.11,-21.11,-20.72,-20.22,-19.78,-20.72,-20.28,-20.22,-21.22
 12:00:00  08/01/17,-19.61,-19.39,-22.50,-20.28,-19.50,-19.28,-20.72,-21.11,-18.89,-19.11,-19.22,-19.78,-19.39,-18.89,-21.11,-19.50
 12:10:00  08/01/17,-19.61,-19.39,-22.50,-20.28,-19.50,-19.28,-20.72,-21.11,-18.89,-19.11,-19.22,-19.78,-19.39,-18.89,-21.11,-19.50
 12:20:00  08/01/17,-19.61,-19.39,-22.50,-20.28,-19.50,-19.28,-20.72,-21.11,-18.89,-19.11,-19.22,-19.78,-19.39,-18.89,-21.11,-19.50
 12:30:00  08/01/17,-19.61,-19.39,-18.72,-19.28,-19.22,-21.28,-19.11,-18.72,-21.28,-21.11,-21.22,-20.78,-20.78,-20.89,-21.11,-19.50
